%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
Sop_In_P01,P0480,P01:soft. op. inputs,
Sop_In_P02,P0481,P02:soft. op. inputs,
Op_Keyb_55_Out,P0501,op. 55-key outputs,
OneTouchMac_P01,P0510,P01:one touch macro call,
OneTouchMac_P02,P0511,P02:one touch macro call,
TMP_B00,E9500,temporary byte 00,
TMP_B01,E9501,temporary byte 01,
TMP_B02,E9502,temporary byte 02,
TMP_B03,E9503,temporary byte 03,
TMP_B04,E9504,temporary byte 04,
TMP_B05,E9505,temporary byte 05,
TMP_B06,E9506,temporary byte 06,
TMP_B07,E9507,temporary byte 07,
TMP_B08,E9508,temporary byte 08,
TMP_B09,E9509,temporary byte 09,
TMP_B10,E9510,temporary byte 10,
TMP_B11,E9511,temporary byte 11,
TMP_B12,E9512,temporary byte 12,
TMP_B13,E9513,temporary byte 13,
TMP_B14,E9514,temporary byte 14,
TMP_B15,E9515,temporary byte 15,
emgsim,E9522,emg: simulation byte,
emgnrd,E9523,emg: number of data,
emgins,E9524,emg: index of storage address,
OPMAP,E9540,op map start address,
K_AX_B,E9544,keys for axis selection,
K_INCR,E9545,keys for increment selection,
FOVRS,E9556,feed override in %,
SOVRS,E9558,spindle override in %,
pctr_set,E9734,path ctr preset,
pctr_cnt,E9736,path ctr count value,
pctr_work,E9738,path ctr count value,
pctr_mem,E9740,path ctr memory,
iV_FOVR,E9900,op55: virtual fovr switch,
%
